Month,Agency,Contact Type,Total
02/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,95
02/01/2021,NYCT Other,Physical Contact,3
02/01/2021,NYCT Other,Non Physical Contact,0
02/01/2021,B&T,Physical Contact,0
02/01/2021,B&T,Non Physical Contact,0
03/01/2021,NYCT Subway/SIR,Physical Contact,18
03/01/2021,NYCT Subway/SIR,Non Physical Contact,55
03/01/2021,NYCT Bus/MTA Bus,Physical Contact,34
03/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,103
03/01/2021,NYCT Other,Physical Contact,3
03/01/2021,NYCT Other,Non Physical Contact,0
03/01/2021,B&T,Physical Contact,0
03/01/2021,B&T,Non Physical Contact,1
04/01/2021,NYCT Subway/SIR,Physical Contact,21
04/01/2021,NYCT Subway/SIR,Non Physical Contact,48
04/01/2021,NYCT Bus/MTA Bus,Physical Contact,38
04/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,105
04/01/2021,NYCT Other,Physical Contact,5
04/01/2021,NYCT Other,Non Physical Contact,0
04/01/2021,B&T,Physical Contact,0
04/01/2021,B&T,Non Physical Contact,0
05/01/2021,NYCT Subway/SIR,Physical Contact,35
05/01/2021,NYCT Subway/SIR,Non Physical Contact,41
05/01/2021,NYCT Bus/MTA Bus,Physical Contact,45
05/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,111
05/01/2021,NYCT Other,Physical Contact,0
05/01/2021,NYCT Other,Non Physical Contact,1
05/01/2021,B&T,Physical Contact,0
05/01/2021,B&T,Non Physical Contact,0
06/01/2021,NYCT Subway/SIR,Physical Contact,13
06/01/2021,NYCT Subway/SIR,Non Physical Contact,31
06/01/2021,NYCT Bus/MTA Bus,Physical Contact,53
06/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,96
06/01/2021,NYCT Other,Physical Contact,2
06/01/2021,NYCT Other,Non Physical Contact,3
06/01/2021,B&T,Physical Contact,0
06/01/2021,B&T,Non Physical Contact,1
07/01/2021,NYCT Subway/SIR,Physical Contact,21
07/01/2021,NYCT Subway/SIR,Non Physical Contact,43
07/01/2021,NYCT Bus/MTA Bus,Physical Contact,37
07/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,128
07/01/2021,NYCT Other,Physical Contact,4
07/01/2021,NYCT Other,Non Physical Contact,1
07/01/2021,B&T,Physical Contact,0
07/01/2021,B&T,Non Physical Contact,0
08/01/2021,NYCT Subway/SIR,Physical Contact,14
08/01/2021,NYCT Subway/SIR,Non Physical Contact,52
08/01/2021,NYCT Bus/MTA Bus,Physical Contact,36
08/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,130
08/01/2021,NYCT Other,Physical Contact,2
08/01/2021,NYCT Other,Non Physical Contact,0
08/01/2021,B&T,Physical Contact,0
08/01/2021,B&T,Non Physical Contact,1
09/01/2021,NYCT Subway/SIR,Physical Contact,18
09/01/2021,NYCT Subway/SIR,Non Physical Contact,46
09/01/2021,NYCT Bus/MTA Bus,Physical Contact,35
09/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,107
09/01/2021,NYCT Other,Physical Contact,2
09/01/2021,NYCT Other,Non Physical Contact,3
09/01/2021,B&T,Physical Contact,0
09/01/2021,B&T,Non Physical Contact,0
10/01/2021,NYCT Subway/SIR,Physical Contact,12
10/01/2021,NYCT Subway/SIR,Non Physical Contact,56
10/01/2021,NYCT Bus/MTA Bus,Physical Contact,34
10/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,148
10/01/2021,NYCT Other,Physical Contact,4
10/01/2021,NYCT Other,Non Physical Contact,4
10/01/2021,B&T,Physical Contact,0
10/01/2021,B&T,Non Physical Contact,1
11/01/2021,NYCT Subway/SIR,Physical Contact,18
11/01/2021,NYCT Subway/SIR,Non Physical Contact,49
11/01/2021,NYCT Bus/MTA Bus,Physical Contact,23
11/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,143
11/01/2021,NYCT Other,Physical Contact,0
11/01/2021,NYCT Other,Non Physical Contact,1
11/01/2021,B&T,Physical Contact,0
11/01/2021,B&T,Non Physical Contact,0
12/01/2021,NYCT Subway/SIR,Physical Contact,18
12/01/2021,NYCT Subway/SIR,Non Physical Contact,63
12/01/2021,NYCT Bus/MTA Bus,Physical Contact,23
12/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,115
12/01/2021,NYCT Other,Physical Contact,3
12/01/2021,NYCT Other,Non Physical Contact,1
12/01/2021,B&T,Physical Contact,0
12/01/2021,B&T,Non Physical Contact,0
01/01/2022,NYCT Subway/SIR,Physical Contact,19
01/01/2022,NYCT Subway/SIR,Non Physical Contact,48
01/01/2022,NYCT Bus/MTA Bus,Physical Contact,15
01/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,80
01/01/2022,NYCT Other,Physical Contact,1
01/01/2022,NYCT Other,Non Physical Contact,1
01/01/2022,B&T,Physical Contact,0
01/01/2022,B&T,Non Physical Contact,1
02/01/2022,NYCT Subway/SIR,Physical Contact,17
02/01/2022,NYCT Subway/SIR,Non Physical Contact,48
02/01/2022,NYCT Bus/MTA Bus,Physical Contact,25
02/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,88
02/01/2022,NYCT Other,Physical Contact,5
02/01/2022,NYCT Other,Non Physical Contact,0
02/01/2022,B&T,Physical Contact,0
02/01/2022,B&T,Non Physical Contact,0
03/01/2022,NYCT Subway/SIR,Physical Contact,28
03/01/2022,NYCT Subway/SIR,Non Physical Contact,58
03/01/2022,NYCT Bus/MTA Bus,Physical Contact,24
03/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,115
03/01/2022,NYCT Other,Physical Contact,5
03/01/2022,NYCT Other,Non Physical Contact,5
03/01/2022,B&T,Physical Contact,0
03/01/2022,B&T,Non Physical Contact,1
04/01/2022,NYCT Subway/SIR,Physical Contact,18
04/01/2022,NYCT Subway/SIR,Non Physical Contact,61
04/01/2022,NYCT Bus/MTA Bus,Physical Contact,27
04/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,95
04/01/2022,NYCT Other,Physical Contact,3
04/01/2022,NYCT Other,Non Physical Contact,1
04/01/2022,B&T,Physical Contact,0
04/01/2022,B&T,Non Physical Contact,0
05/01/2022,NYCT Subway/SIR,Physical Contact,18
05/01/2022,NYCT Subway/SIR,Non Physical Contact,61
05/01/2022,NYCT Bus/MTA Bus,Physical Contact,43
05/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,95
05/01/2022,NYCT Other,Physical Contact,2
05/01/2022,NYCT Other,Non Physical Contact,3
05/01/2022,B&T,Physical Contact,0
05/01/2022,B&T,Non Physical Contact,0
06/01/2022,NYCT Subway/SIR,Physical Contact,17
06/01/2022,NYCT Subway/SIR,Non Physical Contact,28
06/01/2022,NYCT Bus/MTA Bus,Physical Contact,48
06/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,122
06/01/2022,NYCT Other,Physical Contact,2
06/01/2022,NYCT Other,Non Physical Contact,1
06/01/2022,B&T,Physical Contact,0
06/01/2022,B&T,Non Physical Contact,0
07/01/2022,NYCT Subway/SIR,Physical Contact,12
07/01/2022,NYCT Subway/SIR,Non Physical Contact,38
07/01/2022,NYCT Bus/MTA Bus,Physical Contact,40
07/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,109
07/01/2022,NYCT Other,Physical Contact,4
07/01/2022,NYCT Other,Non Physical Contact,0
07/01/2022,B&T,Physical Contact,0
07/01/2022,B&T,Non Physical Contact,0
08/01/2022,NYCT Subway/SIR,Physical Contact,21
08/01/2022,NYCT Subway/SIR,Non Physical Contact,42
08/01/2022,NYCT Bus/MTA Bus,Physical Contact,23
08/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,114
08/01/2022,NYCT Other,Physical Contact,4
08/01/2022,NYCT Other,Non Physical Contact,1
08/01/2022,B&T,Physical Contact,0
08/01/2022,B&T,Non Physical Contact,1
09/01/2022,NYCT Subway/SIR,Physical Contact,15
09/01/2022,NYCT Subway/SIR,Non Physical Contact,25
09/01/2022,NYCT Bus/MTA Bus,Physical Contact,31
09/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,92
09/01/2022,NYCT Other,Physical Contact,2
09/01/2022,NYCT Other,Non Physical Contact,2
09/01/2022,B&T,Physical Contact,0
09/01/2022,B&T,Non Physical Contact,1
10/01/2022,NYCT Subway/SIR,Physical Contact,11
10/01/2022,NYCT Subway/SIR,Non Physical Contact,35
10/01/2022,NYCT Bus/MTA Bus,Physical Contact,32
10/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,121
10/01/2022,NYCT Other,Physical Contact,2
10/01/2022,NYCT Other,Non Physical Contact,0
